Event Name,Event Venue,Event Web Site,Performers,Event Date,Start Time,End Time,Promoters,Event Purchase URL,Event Pic,Notes,City,State/Province,Country,Correct for accents and symbols
Happy New Year:  SuperMartXe,Fabrik,http://www.grupo-kapital.com/fabrik/,Abel The Kid; DJ Vitti; Hugo Sanchez; AB Garcia; John Shelvin; Michael Sanchez; Salva di Nobles,1/1/2012,1am,na,na,http://www.ticketclub.es/web/home,http://www.grupo-kapital.com/fabrik/images/colocafliers/traseras/117_31-12-11_SUPEMARTXE_.jpg,na,Madrid,na,Spain,*
New Years Eve,Fabric,http://www.fabriclondon.com/,Craig Richards; Terry Francis; Lil' Louis; Tobi Neumann; Maya Jane Coles; Adam Beyer; Slam; Alan Fitzpatrick; The Mole; Claus Voigtmann; Cristi Cons,12/31/2011,9pm,na,na,https://fabriclondon.ticketabc.com/events/nye31-12-11/,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,London,na,England,na
New Years Eve with DJ Irene,Lizard Lounge,http://www.thelizardlounge.com/index.php,DJ Irene; SnoWhite; Johnny Funk; raydar; Shaolin; DJ Yosh,12/31/2011,8pm,na,na,http://www.thelizardlounge.com/buy_tickets.php,http://www.thelizardlounge.com/event_images/flyers/1728.jpg,na,Dallas,na,USA,na
NYE with Will.i.am,Surrender,http://surrendernightclub.com/flash/index.php,Will.i.am; DJ Ammo,12/31/2011,9pm,na,na,http://surrender.wantickets.com/Events/94600/Surrender-Your-New-Years-with-WILL-I-AM-of-the-Black-Eyed-Peas/,http://wynnadmin.com/imateq/uploads/701133710/raw/403633.jpg,na,Las Vegas,na,USA,na
avaland 12/31/2011 . john digweed nye 2012,Avalon,http://www.avalonhollywood.com/,John Digweed,12/31/2011,9pm,na,na,http://avalon.wantickets.com/events/95936/avaland-presents-john-digweed-nye-2012/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f95936%2fefdd989c-2dc0-4e30-9167-fd63f479d0a5.jpg&maxWidth=874&maxHeight=668&maxKb=300,na,Los Angeles,na,USA,na
NYE 2012 with EC Twins,Set,http://www.setmiami.com/dev/main.php,EC Twins,12/31/2011,7pm,na,na,http://opium.wantickets.com/Events/94938/SET-Nightclub-New-Years-Eve/,http://www.setmiami.com/dev/stock/images/1319834730-fl-th.jpg,na,Miami,na,USA,na
Voyeur NYE Party,Voyeur,http://voyeursd.com/,Mr. White;Rifat Ziadeh,12/31/2011,9pm,na,na,http://www.wantickets.com/Events/ShowEvent.aspx?eventId=96154,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,San Diego,na,USA,na
Class Party,Orfeo Superdomo,http://www.orfeosuperdomo.com/DinoTickets/frmIndex.aspx,Carl Cox,12/16/2011,11pm,na,na,http://www.orfeosuperdomo.com/DinoTickets/frmDetallesEspectaculo.aspx?pEsp_id=1799,http://www.orfeosuperdomo.com/dinotickets/fly/info/carl-cox/carl-cox.jpg,na,Buenos Aires,na,Argentina,na
Mandala 2012 New Years Eve,Laguna Escondida,http://www.mandalapunta.com/index2.html,Marcelo Sa (Hypno); Carl Cox; Jon Rundell; Ingrid (D-Edge); Ruben Duffey,12/31/2011,10pm,na,na,http://www.ingressorapido.com.br/Evento.aspx?ID=17968,http://www.ingressorapido.com.br/ImagensSistema/Eventos/eI017968.jpg,Uruguay,Punta Del Este,na,Uruguay,na
Reveillon 2012,Green Valley,http://www.greenvalley.art.br/index.php,Arjonas; Mangui; Ferris; Rodrigo Vieira; Chuckie; ,12/31/2011,10pm,na,na,http://www.greenvalley.art.br/index.php,http://www.greenvalley.art.br/fotos/agenda/60460_40e.jpg,na,Camboriu,na,Brazil,na
